kind,scenario,nb_cars,metric,metric_label,goal,unit,step,component,from_method,to_method,value_from,value_to,delta,delta_pct,improvement
ladder,pessimistic,20,exact_satisfaction,Exact satisfaction,up,%,1,Multi-station search,greedy,multistation,0.9089,0.9089,0.0,0.0,False
ladder,pessimistic,20,needs_satisfaction,Needs satisfied,up,%,1,Multi-station search,greedy,multistation,0.9089,0.9089,0.0,0.0,False
ladder,pessimistic,20,confirm_rate,Confirmation rate,up,%,1,Multi-station search,greedy,multistation,0.9254,0.9254,0.0,0.0,False
ladder,pessimistic,20,mean_waiting_time_min,Mean waiting time,down,min,1,Multi-station search,greedy,multistation,0.0,0.0,0.0,,False
ladder,pessimistic,20,mean_travel_distance_km,Mean distance,down,km,1,Multi-station search,greedy,multistation,0.3957,0.3957,0.0,0.0,False
ladder,pessimistic,20,rate_pres,Show-up rate,up,%,1,Multi-station search,greedy,multistation,0.371,0.371,0.0,0.0,False
ladder,pessimistic,20,rate_abs,No-show rate,down,%,1,Multi-station search,greedy,multistation,0.1452,0.1452,0.0,0.0,False
ladder,pessimistic,20,nb_no_show,No-shows,down,,1,Multi-station search,greedy,multistation,9.0,9.0,0.0,0.0,False
ladder,pessimistic,20,nb_reservations,Confirmed reservations,up,,1,Multi-station search,greedy,multistation,62.0,62.0,0.0,0.0,False
ladder,pessimistic,20,mean_occupancy_rate,Occupancy rate,up,%,1,Multi-station search,greedy,multistation,0.1317,0.1317,0.0,0.0,False
ladder,pessimistic,20,mean_service_rate,Service rate,up,%,1,Multi-station search,greedy,multistation,0.0485,0.0485,0.0,0.0,False
ladder,pessimistic,20,slot_waste_rate,Wasted reserved slots,down,%,1,Multi-station search,greedy,multistation,0.6236,0.6236,0.0,0.0,False
ladder,pessimistic,20,nb_station_level_rejections,Rejected demands,down,,1,Multi-station search,greedy,multistation,18.0,114.0,96.0,533.3333,False
ladder,pessimistic,20,total_ms_mean,End-to-end latency,down,ms,1,Multi-station search,greedy,multistation,45.714,100.87,55.156,120.6545,False
ladder,pessimistic,20,wall_time_s,Wall time,down,s,1,Multi-station search,greedy,multistation,2.199,4.708,2.509,114.0973,False
ladder,pessimistic,20,exact_satisfaction,Exact satisfaction,up,%,2,Reputation,multistation,multistation_rep,0.9089,0.9089,0.0,0.0,False
ladder,pessimistic,20,needs_satisfaction,Needs satisfied,up,%,2,Reputation,multistation,multistation_rep,0.9089,0.9089,0.0,0.0,False
ladder,pessimistic,20,confirm_rate,Confirmation rate,up,%,2,Reputation,multistation,multistation_rep,0.9254,0.9254,0.0,0.0,False
ladder,pessimistic,20,mean_waiting_time_min,Mean waiting time,down,min,2,Reputation,multistation,multistation_rep,0.0,0.0,0.0,,False
ladder,pessimistic,20,mean_travel_distance_km,Mean distance,down,km,2,Reputation,multistation,multistation_rep,0.3957,0.3957,0.0,0.0,False
ladder,pessimistic,20,rate_pres,Show-up rate,up,%,2,Reputation,multistation,multistation_rep,0.371,0.371,0.0,0.0,False
ladder,pessimistic,20,rate_abs,No-show rate,down,%,2,Reputation,multistation,multistation_rep,0.1452,0.1452,0.0,0.0,False
ladder,pessimistic,20,nb_no_show,No-shows,down,,2,Reputation,multistation,multistation_rep,9.0,9.0,0.0,0.0,False
ladder,pessimistic,20,nb_reservations,Confirmed reservations,up,,2,Reputation,multistation,multistation_rep,62.0,62.0,0.0,0.0,False
ladder,pessimistic,20,mean_occupancy_rate,Occupancy rate,up,%,2,Reputation,multistation,multistation_rep,0.1317,0.1317,0.0,0.0,False
ladder,pessimistic,20,mean_service_rate,Service rate,up,%,2,Reputation,multistation,multistation_rep,0.0485,0.0485,0.0,0.0,False
ladder,pessimistic,20,slot_waste_rate,Wasted reserved slots,down,%,2,Reputation,multistation,multistation_rep,0.6236,0.6236,0.0,0.0,False
ladder,pessimistic,20,nb_station_level_rejections,Rejected demands,down,,2,Reputation,multistation,multistation_rep,114.0,114.0,0.0,0.0,False
ladder,pessimistic,20,total_ms_mean,End-to-end latency,down,ms,2,Reputation,multistation,multistation_rep,100.87,102.106,1.236,1.2253,False
ladder,pessimistic,20,wall_time_s,Wall time,down,s,2,Reputation,multistation,multistation_rep,4.708,4.773,0.065,1.3806,False
ladder,pessimistic,20,exact_satisfaction,Exact satisfaction,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.9089,0.9089,0.0,0.0,False
ladder,pessimistic,20,needs_satisfaction,Needs satisfied,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.9089,0.9089,0.0,0.0,False
ladder,pessimistic,20,confirm_rate,Confirmation rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.9254,0.9254,0.0,0.0,False
ladder,pessimistic,20,mean_waiting_time_min,Mean waiting time,down,min,3,Cross-station adaptation,multistation_rep,bramev,0.0,0.0,0.0,,False
ladder,pessimistic,20,mean_travel_distance_km,Mean distance,down,km,3,Cross-station adaptation,multistation_rep,bramev,0.3957,0.3957,0.0,0.0,False
ladder,pessimistic,20,rate_pres,Show-up rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.371,0.371,0.0,0.0,False
ladder,pessimistic,20,rate_abs,No-show rate,down,%,3,Cross-station adaptation,multistation_rep,bramev,0.1452,0.1452,0.0,0.0,False
ladder,pessimistic,20,nb_no_show,No-shows,down,,3,Cross-station adaptation,multistation_rep,bramev,9.0,9.0,0.0,0.0,False
ladder,pessimistic,20,nb_reservations,Confirmed reservations,up,,3,Cross-station adaptation,multistation_rep,bramev,62.0,62.0,0.0,0.0,False
ladder,pessimistic,20,mean_occupancy_rate,Occupancy rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.1317,0.1317,0.0,0.0,False
ladder,pessimistic,20,mean_service_rate,Service rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.0485,0.0485,0.0,0.0,False
ladder,pessimistic,20,slot_waste_rate,Wasted reserved slots,down,%,3,Cross-station adaptation,multistation_rep,bramev,0.6236,0.6236,0.0,0.0,False
ladder,pessimistic,20,nb_station_level_rejections,Rejected demands,down,,3,Cross-station adaptation,multistation_rep,bramev,114.0,114.0,0.0,0.0,False
ladder,pessimistic,20,total_ms_mean,End-to-end latency,down,ms,3,Cross-station adaptation,multistation_rep,bramev,102.106,102.038,-0.068,-0.0666,True
ladder,pessimistic,20,wall_time_s,Wall time,down,s,3,Cross-station adaptation,multistation_rep,bramev,4.773,4.766,-0.007,-0.1467,True
ladder,pessimistic,40,exact_satisfaction,Exact satisfaction,up,%,1,Multi-station search,greedy,multistation,0.8559,0.8545,-0.0014,-0.1636,False
ladder,pessimistic,40,needs_satisfaction,Needs satisfied,up,%,1,Multi-station search,greedy,multistation,0.8586,0.8579,-0.0007,-0.0815,False
ladder,pessimistic,40,confirm_rate,Confirmation rate,up,%,1,Multi-station search,greedy,multistation,0.9256,0.9174,-0.0082,-0.8859,False
ladder,pessimistic,40,mean_waiting_time_min,Mean waiting time,down,min,1,Multi-station search,greedy,multistation,0.498,0.504,0.006,1.2048,False
ladder,pessimistic,40,mean_travel_distance_km,Mean distance,down,km,1,Multi-station search,greedy,multistation,0.4125,0.4099,-0.0026,-0.6303,True
ladder,pessimistic,40,rate_pres,Show-up rate,up,%,1,Multi-station search,greedy,multistation,0.4107,0.4054,-0.0053,-1.2905,False
ladder,pessimistic,40,rate_abs,No-show rate,down,%,1,Multi-station search,greedy,multistation,0.1964,0.1982,0.0018,0.9165,False
ladder,pessimistic,40,nb_no_show,No-shows,down,,1,Multi-station search,greedy,multistation,22.0,22.0,0.0,0.0,False
ladder,pessimistic,40,nb_reservations,Confirmed reservations,up,,1,Multi-station search,greedy,multistation,112.0,111.0,-1.0,-0.8929,False
ladder,pessimistic,40,mean_occupancy_rate,Occupancy rate,up,%,1,Multi-station search,greedy,multistation,0.233,0.2329,-0.0001,-0.0429,False
ladder,pessimistic,40,mean_service_rate,Service rate,up,%,1,Multi-station search,greedy,multistation,0.0971,0.0971,0.0,0.0,False
ladder,pessimistic,40,slot_waste_rate,Wasted reserved slots,down,%,1,Multi-station search,greedy,multistation,0.5761,0.5772,0.0011,0.1909,False
ladder,pessimistic,40,nb_station_level_rejections,Rejected demands,down,,1,Multi-station search,greedy,multistation,30.0,178.0,148.0,493.3333,False
ladder,pessimistic,40,total_ms_mean,End-to-end latency,down,ms,1,Multi-station search,greedy,multistation,66.474,138.626,72.152,108.5417,False
ladder,pessimistic,40,wall_time_s,Wall time,down,s,1,Multi-station search,greedy,multistation,4.42,9.3,4.88,110.4072,False
ladder,pessimistic,40,exact_satisfaction,Exact satisfaction,up,%,2,Reputation,multistation,multistation_rep,0.8545,0.8548,0.0003,0.0351,True
ladder,pessimistic,40,needs_satisfaction,Needs satisfied,up,%,2,Reputation,multistation,multistation_rep,0.8579,0.858,0.0001,0.0117,True
ladder,pessimistic,40,confirm_rate,Confirmation rate,up,%,2,Reputation,multistation,multistation_rep,0.9174,0.9333,0.0159,1.7332,True
ladder,pessimistic,40,mean_waiting_time_min,Mean waiting time,down,min,2,Reputation,multistation,multistation_rep,0.504,0.498,-0.006,-1.1905,True
ladder,pessimistic,40,mean_travel_distance_km,Mean distance,down,km,2,Reputation,multistation,multistation_rep,0.4099,0.4103,0.0004,0.0976,False
ladder,pessimistic,40,rate_pres,Show-up rate,up,%,2,Reputation,multistation,multistation_rep,0.4054,0.4107,0.0053,1.3074,True
ladder,pessimistic,40,rate_abs,No-show rate,down,%,2,Reputation,multistation,multistation_rep,0.1982,0.1964,-0.0018,-0.9082,True
ladder,pessimistic,40,nb_no_show,No-shows,down,,2,Reputation,multistation,multistation_rep,22.0,22.0,0.0,0.0,False
ladder,pessimistic,40,nb_reservations,Confirmed reservations,up,,2,Reputation,multistation,multistation_rep,111.0,112.0,1.0,0.9009,True
ladder,pessimistic,40,mean_occupancy_rate,Occupancy rate,up,%,2,Reputation,multistation,multistation_rep,0.2329,0.2329,0.0,0.0,False
ladder,pessimistic,40,mean_service_rate,Service rate,up,%,2,Reputation,multistation,multistation_rep,0.0971,0.0972,0.0001,0.103,True
ladder,pessimistic,40,slot_waste_rate,Wasted reserved slots,down,%,2,Reputation,multistation,multistation_rep,0.5772,0.577,-0.0002,-0.0347,True
ladder,pessimistic,40,nb_station_level_rejections,Rejected demands,down,,2,Reputation,multistation,multistation_rep,178.0,139.0,-39.0,-21.9101,True
ladder,pessimistic,40,total_ms_mean,End-to-end latency,down,ms,2,Reputation,multistation,multistation_rep,138.626,131.898,-6.728,-4.8533,True
ladder,pessimistic,40,wall_time_s,Wall time,down,s,2,Reputation,multistation,multistation_rep,9.3,8.952,-0.348,-3.7419,True
ladder,pessimistic,40,exact_satisfaction,Exact satisfaction,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.8548,0.8552,0.0004,0.0468,True
ladder,pessimistic,40,needs_satisfaction,Needs satisfied,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.858,0.859,0.001,0.1166,True
ladder,pessimistic,40,confirm_rate,Confirmation rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.9333,0.9333,0.0,0.0,False
ladder,pessimistic,40,mean_waiting_time_min,Mean waiting time,down,min,3,Cross-station adaptation,multistation_rep,bramev,0.498,0.558,0.06,12.0482,False
ladder,pessimistic,40,mean_travel_distance_km,Mean distance,down,km,3,Cross-station adaptation,multistation_rep,bramev,0.4103,0.4103,0.0,0.0,False
ladder,pessimistic,40,rate_pres,Show-up rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.4107,0.4107,0.0,0.0,False
ladder,pessimistic,40,rate_abs,No-show rate,down,%,3,Cross-station adaptation,multistation_rep,bramev,0.1964,0.1964,0.0,0.0,False
ladder,pessimistic,40,nb_no_show,No-shows,down,,3,Cross-station adaptation,multistation_rep,bramev,22.0,22.0,0.0,0.0,False
ladder,pessimistic,40,nb_reservations,Confirmed reservations,up,,3,Cross-station adaptation,multistation_rep,bramev,112.0,112.0,0.0,0.0,False
ladder,pessimistic,40,mean_occupancy_rate,Occupancy rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.2329,0.2329,0.0,0.0,False
ladder,pessimistic,40,mean_service_rate,Service rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,0.0972,0.0972,0.0,0.0,False
ladder,pessimistic,40,slot_waste_rate,Wasted reserved slots,down,%,3,Cross-station adaptation,multistation_rep,bramev,0.577,0.577,0.0,0.0,False
ladder,pessimistic,40,nb_station_level_rejections,Rejected demands,down,,3,Cross-station adaptation,multistation_rep,bramev,139.0,139.0,0.0,0.0,False
ladder,pessimistic,40,total_ms_mean,End-to-end latency,down,ms,3,Cross-station adaptation,multistation_rep,bramev,131.898,132.222,0.324,0.2456,False
ladder,pessimistic,40,wall_time_s,Wall time,down,s,3,Cross-station adaptation,multistation_rep,bramev,8.952,8.952,0.0,0.0,False
baseline,pessimistic,20,exact_satisfaction,Exact satisfaction,up,%,0,Minimum Waiting Time,min_waiting,bramev,0.9089,0.9089,0.0,0.0,False
baseline,pessimistic,20,needs_satisfaction,Needs satisfied,up,%,0,Minimum Waiting Time,min_waiting,bramev,0.9089,0.9089,0.0,0.0,False
baseline,pessimistic,20,confirm_rate,Confirmation rate,up,%,0,Minimum Waiting Time,min_waiting,bramev,0.9254,0.9254,0.0,0.0,False
baseline,pessimistic,20,mean_waiting_time_min,Mean waiting time,down,min,0,Minimum Waiting Time,min_waiting,bramev,0.0,0.0,0.0,,False
baseline,pessimistic,20,mean_travel_distance_km,Mean distance,down,km,0,Minimum Waiting Time,min_waiting,bramev,0.3957,0.3957,0.0,0.0,False
baseline,pessimistic,20,rate_pres,Show-up rate,up,%,0,Minimum Waiting Time,min_waiting,bramev,0.371,0.371,0.0,0.0,False
