grid_seed,grid_m,station_id,society_id,x_m,y_m,nb_charg_spot,alpha_init,strategy_abs,strategy_early,strategy_late,strategy_pres
42,3000.0,0,1,2688.71,2867.9,5,0.2909548371041439,4.2386702324583565,0.6587954340316757,0.7413164229589508,4.277519452220163
42,3000.0,1,2,2608.61,734.94,5,0.26131158869697385,3.595688035351093,0.26569213143154097,0.6833812515255464,3.5913037002051498
42,3000.0,2,1,2792.64,1941.93,5,0.7391543077311657,4.2386702324583565,0.6587954340316757,0.7413164229589508,4.277519452220163
42,3000.0,3,1,444.37,2940.92,5,0.8900935769007621,4.2386702324583565,0.6587954340316757,0.7413164229589508,4.277519452220163
42,3000.0,4,3,2747.35,164.88,5,0.14273736305849358,3.350098494727897,0.2874125535846416,0.6928150146532708,5.178079166518344
42,3000.0,5,1,1506.29,2809.98,4,0.2198466253162975,4.2386702324583565,0.6587954340316757,0.7413164229589508,4.277519452220163
42,3000.0,6,0,848.04,1032.88,6,0.708625889751381,3.186731159041706,0.48553733381616965,1.1758477482422114,3.59823287860635
42,3000.0,7,1,2836.14,1980.5,6,0.5707801604710788,4.2386702324583565,0.6587954340316757,0.7413164229589508,4.277519452220163
42,3000.0,8,0,332.37,1079.27,5,0.808010237512405,3.186731159041706,0.48553733381616965,1.1758477482422114,3.59823287860635
42,3000.0,9,2,2429.6,104.08,4,0.4874947110088151,3.595688035351093,0.26569213143154097,0.6833812515255464,3.5913037002051498
42,3000.0,10,0,243.44,1435.91,5,0.30526517566293293,3.186731159041706,0.48553733381616965,1.1758477482422114,3.59823287860635
42,3000.0,11,0,391.29,444.25,4,0.2502417759355514,3.186731159041706,0.48553733381616965,1.1758477482422114,3.59823287860635
42,3000.0,12,3,413.05,2725.87,6,0.3167377371363091,3.350098494727897,0.2874125535846416,0.6928150146532708,5.178079166518344
42,3000.0,13,3,1885.26,24.64,4,0.8089090753241303,3.350098494727897,0.2874125535846416,0.6928150146532708,5.178079166518344
42,3000.0,14,3,168.99,965.67,4,0.6168469366140812,3.350098494727897,0.2874125535846416,0.6928150146532708,5.178079166518344
42,3000.0,15,0,1070.78,258.15,5,0.5092269765338366,3.186731159041706,0.48553733381616965,1.1758477482422114,3.59823287860635
42,3000.0,16,2,2146.66,1060.0,6,0.5232870043408651,3.595688035351093,0.26569213143154097,0.6833812515255464,3.5913037002051498
42,3000.0,17,2,561.81,912.98,4,0.8252344428496543,3.595688035351093,0.26569213143154097,0.6833812515255464,3.5913037002051498
42,3000.0,18,2,362.95,2056.58,5,0.8535419620506453,3.595688035351093,0.26569213143154097,0.6833812515255464,3.5913037002051498
42,3000.0,19,3,2196.21,1315.09,6,0.7575719490947899,3.350098494727897,0.2874125535846416,0.6928150146532708,5.178079166518344
42,3000.0,20,2,2327.81,758.51,4,0.4982735566886162,3.595688035351093,0.26569213143154097,0.6833812515255464,3.5913037002051498
42,3000.0,21,2,1712.27,986.88,6,0.8027340744108118,3.595688035351093,0.26569213143154097,0.6833812515255464,3.5913037002051498
42,3000.0,22,2,2941.52,311.07,4,0.5489516840816024,3.595688035351093,0.26569213143154097,0.6833812515255464,3.5913037002051498
42,3000.0,23,0,2996.5,1675.44,4,0.18118262602618085,3.186731159041706,0.48553733381616965,1.1758477482422114,3.59823287860635
42,3000.0,24,1,2474.82,826.19,4,0.8989696928429589,4.2386702324583565,0.6587954340316757,0.7413164229589508,4.277519452220163
42,3000.0,25,2,2059.87,2960.55,6,0.6409014984338746,3.595688035351093,0.26569213143154097,0.6833812515255464,3.5913037002051498
42,3000.0,26,3,2.44,2800.37,5,0.16124423789139775,3.350098494727897,0.2874125535846416,0.6928150146532708,5.178079166518344
42,3000.0,27,2,1629.6,2631.85,4,0.3989528756686423,3.595688035351093,0.26569213143154097,0.6833812515255464,3.5913037002051498
42,3000.0,28,3,2966.76,984.91,4,0.8961545729544673,3.350098494727897,0.2874125535846416,0.6928150146532708,5.178079166518344
42,3000.0,29,3,2932.0,2126.91,5,0.21952880915333664,3.350098494727897,0.2874125535846416,0.6928150146532708,5.178079166518344
42,3000.0,30,1,349.32,543.26,6,0.10372326170498179,4.2386702324583565,0.6587954340316757,0.7413164229589508,4.277519452220163
42,3000.0,31,2,1177.77,2696.6,5,0.4794208045371172,3.595688035351093,0.26569213143154097,0.6833812515255464,3.5913037002051498
42,3000.0,32,0,1224.94,1461.95,5,0.27557828459599726,3.186731159041706,0.48553733381616965,1.1758477482422114,3.59823287860635
42,3000.0,33,1,1781.51,1183.16,4,0.6703350522521689,4.2386702324583565,0.6587954340316757,0.7413164229589508,4.277519452220163
42,3000.0,34,0,1257.46,1065.51,5,0.35530182767688595,3.186731159041706,0.48553733381616965,1.1758477482422114,3.59823287860635
42,3000.0,35,0,1580.96,2803.95,6,0.6128533632727723,3.186731159041706,0.48553733381616965,1.1758477482422114,3.59823287860635
42,3000.0,36,3,2760.09,1441.1,6,0.4158611333577688,3.350098494727897,0.2874125535846416,0.6928150146532708,5.178079166518344
42,3000.0,37,0,2187.21,465.04,4,0.6311873991634613,3.186731159041706,0.48553733381616965,1.1758477482422114,3.59823287860635
42,3000.0,38,3,514.93,2198.77,6,0.7902418403919866,3.350098494727897,0.2874125535846416,0.6928150146532708,5.178079166518344
42,3000.0,39,1,1737.25,305.86,6,0.6455423961592289,4.2386702324583565,0.6587954340316757,0.7413164229589508,4.277519452220163
