grid_seed,grid_m,station_id,society_id,x_m,y_m,nb_charg_spot,alpha_init,strategy_abs,strategy_early,strategy_late,strategy_pres
42,3000.0,0,0,2688.71,2867.9,5,0.2909548371041439,3.186731159041706,0.48553733381616965,1.1758477482422114,3.59823287860635
42,3000.0,1,1,2608.61,734.94,5,0.26131158869697385,4.2386702324583565,0.6587954340316757,0.7413164229589508,4.277519452220163
42,3000.0,2,1,2792.64,1941.93,5,0.7391543077311657,4.2386702324583565,0.6587954340316757,0.7413164229589508,4.277519452220163
42,3000.0,3,1,444.37,2940.92,5,0.8900935769007621,4.2386702324583565,0.6587954340316757,0.7413164229589508,4.277519452220163
42,3000.0,4,2,2747.35,164.88,5,0.14273736305849358,3.595688035351093,0.26569213143154097,0.6833812515255464,3.5913037002051498
42,3000.0,5,0,1506.29,2809.98,4,0.2198466253162975,3.186731159041706,0.48553733381616965,1.1758477482422114,3.59823287860635
42,3000.0,6,0,848.04,1032.88,6,0.708625889751381,3.186731159041706,0.48553733381616965,1.1758477482422114,3.59823287860635
42,3000.0,7,0,2836.14,1980.5,6,0.5707801604710788,3.186731159041706,0.48553733381616965,1.1758477482422114,3.59823287860635
42,3000.0,8,0,332.37,1079.27,5,0.808010237512405,3.186731159041706,0.48553733381616965,1.1758477482422114,3.59823287860635
42,3000.0,9,1,2429.6,104.08,4,0.4874947110088151,4.2386702324583565,0.6587954340316757,0.7413164229589508,4.277519452220163
42,3000.0,10,0,243.44,1435.91,5,0.30526517566293293,3.186731159041706,0.48553733381616965,1.1758477482422114,3.59823287860635
42,3000.0,11,0,391.29,444.25,4,0.2502417759355514,3.186731159041706,0.48553733381616965,1.1758477482422114,3.59823287860635
