grid_seed,grid_m,station_id,society_id,x_m,y_m,nb_charg_spot,alpha_init,strategy_abs,strategy_early,strategy_late,strategy_pres
1,3000.0,0,1,2798.24,2327.98,6,0.8703318995497504,3.7934250902217936,0.635710741919419,1.3365658095998443,2.9500411749377586
1,3000.0,1,1,619.82,1721.25,6,0.3661857856573669,3.7934250902217936,0.635710741919419,1.3365658095998443,2.9500411749377586
1,3000.0,2,2,2435.41,2263.96,4,0.838203617670786,3.8997939616307526,0.33072027837929135,0.5606055618922566,4.598045839970467
1,3000.0,3,1,2023.77,1851.25,6,0.12737414417207607,3.7934250902217936,0.635710741919419,1.3365658095998443,2.9500411749377586
1,3000.0,4,2,451.04,419.58,6,0.5843955198516201,3.8997939616307526,0.33072027837929135,0.5606055618922566,4.598045839970467
1,3000.0,5,0,992.55,908.12,6,0.5947607518138012,3.7939781712473994,0.5674997256615043,0.8615121843991921,5.820020803310129
1,3000.0,6,1,453.05,2306.92,5,0.44611396984557894,3.7934250902217936,0.635710741919419,1.3365658095998443,2.9500411749377586
1,3000.0,7,1,310.61,1555.74,5,0.12133667020709496,3.7934250902217936,0.635710741919419,1.3365658095998443,2.9500411749377586
1,3000.0,8,0,2005.43,2624.16,5,0.35645507284454214,3.7939781712473994,0.5674997256615043,0.8615121843991921,5.820020803310129
1,3000.0,9,0,549.02,2012.72,4,0.5512879172195161,3.7939781712473994,0.5674997256615043,0.8615121843991921,5.820020803310129
1,3000.0,10,2,890.09,82.42,5,0.5639052736105782,3.8997939616307526,0.33072027837929135,0.5606055618922566,4.598045839970467
1,3000.0,11,0,967.64,336.98,5,0.6531409178348978,3.7939781712473994,0.5674997256615043,0.8615121843991921,5.820020803310129
